id,city,date,time,severity,weather_condition,road_condition,num_vehicles,latitude,longitude,hour,month,year,month_year,period
4219,Los Angeles,2023-10-14,20:24,High,Rain,Dry,5,43.3265,-107.1993,20,10,2023,2023-10,Night
4220,San Diego,2023-08-16,20:03,High,Fog,Icy,1,31.0445,-121.2327,20,8,2023,2023-08,Night
4221,New York,2023-09-28,17:36,High,Clear,Dry,2,25.1008,-72.9094,17,9,2023,2023-09,Day
4222,Austin,2021-04-08,10:40,High,Clear,Wet,3,46.0578,-104.923,10,4,2021,2021-04,Day
4223,Phoenix,2023-09-15,08:34,Low,Clear,Dry,1,33.8046,-95.4529,8,9,2023,2023-09,Day
4224,Houston,2023-10-24,10:00,Low,Clear,Dry,2,47.1273,-103.2421,10,10,2023,2023-10,Day
4225,New York,2022-10-17,19:57,Low,Clear,Dry,1,43.4224,-93.2514,19,10,2022,2022-10,Night
4226,Chicago,2023-08-29,17:49,Medium,Clear,Under Construction,5,42.162,-115.7411,17,8,2023,2023-08,Day
4227,Phoenix,2023-12-23,16:05,Low,Clear,Dry,2,25.5075,-84.9144,16,12,2023,2023-12,Day
4228,Charlotte,2021-01-07,13:40,High,Fog,Dry,3,34.8399,-90.6072,13,1,2021,2021-01,Day
4229,Los Angeles,2022-03-12,08:49,Medium,Rain,Icy,4,37.9204,-75.5489,8,3,2022,2022-03,Day
4230,Houston,2022-06-28,13:32,Medium,Clear,Slippery,3,29.0979,-111.4099,13,6,2022,2022-06,Day
4231,Chicago,2021-04-10,11:03,Low,Snow,Dry,2,31.9384,-79.7231,11,4,2021,2021-04,Day
4232,San Antonio,2021-09-10,08:13,Low,Clear,Wet,5,47.7347,-118.385,8,9,2021,2021-09,Day
4233,Philadelphia,2022-03-31,20:24,High,Clear,Dry,4,33.0487,-85.9462,20,3,2022,2022-03,Night
4234,Dallas,2021-06-22,17:57,Low,Hail,Under Construction,3,33.5752,-100.1229,17,6,2021,2021-06,Day
4235,Philadelphia,2021-08-29,11:48,Low,Clear,Dry,2,43.1648,-73.6875,11,8,2021,2021-08,Day
4236,Philadelphia,2021-08-09,14:39,Medium,Clear,Dry,1,27.9607,-121.5926,14,8,2021,2021-08,Day
4237,Los Angeles,2021-11-15,19:13,Low,Rain,Wet,2,27.3838,-92.3601,19,11,2021,2021-11,Night
4238,New York,2021-01-09,18:20,Medium,Rain,Dry,3,25.1327,-81.533,18,1,2021,2021-01,Night
4239,Charlotte,2022-05-18,18:34,High,Clear,Dry,1,43.671,-88.0795,18,5,2022,2022-05,Night
4240,Houston,2023-03-08,03:10,Medium,Rain,Dry,4,29.6584,-95.8198,3,3,2023,2023-03,Night
4241,Los Angeles,2023-01-01,08:31,Low,Rain,Wet,2,29.6287,-76.0878,8,1,2023,2023-01,Day
4242,New York,2021-03-30,15:01,Medium,Rain,Dry,4,36.4997,-89.193,15,3,2021,2021-03,Day
4243,Dallas,2023-08-14,11:33,Low,Clear,Wet,4,44.3084,-101.0042,11,8,2023,2023-08,Day
4244,Los Angeles,2023-12-17,21:43,Medium,Clear,Dry,5,33.9058,-121.2839,21,12,2023,2023-12,Night
4245,Dallas,2023-03-29,20:32,Medium,Snow,Dry,5,26.0798,-84.2006,20,3,2023,2023-03,Night
4246,San Diego,2021-12-01,11:34,Low,Rain,Dry,5,42.8536,-86.764,11,12,2021,2021-12,Day
4247,New York,2021-10-02,07:18,Medium,Fog,Under Construction,4,25.1929,-115.5878,7,10,2021,2021-10,Day
4248,Philadelphia,2021-05-08,14:16,Low,Rain,Slippery,3,30.9205,-94.4032,14,5,2021,2021-05,Day
4249,Charlotte,2023-07-23,15:02,Medium,Clear,Slippery,2,29.4251,-100.3432,15,7,2023,2023-07,Day
4250,Dallas,2022-10-14,14:58,High,Rain,Dry,2,27.2991,-118.3473,14,10,2022,2022-10,Day
4251,Dallas,2023-10-30,17:27,Medium,Clear,Dry,5,45.3353,-97.2202,17,10,2023,2023-10,Day
4252,Philadelphia,2022-09-14,08:01,Medium,Clear,Wet,4,37.0529,-74.038,8,9,2022,2022-09,Day
4253,Los Angeles,2022-11-16,17:53,Low,Clear,Slippery,5,37.1326,-120.7975,17,11,2022,2022-11,Day
4254,Phoenix,2021-06-14,11:20,High,Clear,Wet,4,29.6066,-117.953,11,6,2021,2021-06,Day
4255,Jacksonville,2021-12-09,22:07,Medium,Clear,Dry,4,38.6666,-107.6718,22,12,2021,2021-12,Night
4256,New York,2022-06-01,09:53,High,Clear,Dry,1,33.0927,-77.0709,9,6,2022,2022-06,Day
4257,New York,2023-09-06,12:08,Low,Clear,Slippery,5,31.3076,-74.3942,12,9,2023,2023-09,Day
4258,New York,2022-06-03,20:48,Medium,Clear,Under Construction,2,27.6874,-90.0481,20,6,2022,2022-06,Night
4259,Jacksonville,2023-09-22,14:20,Low,Clear,Slippery,3,28.4428,-104.6268,14,9,2023,2023-09,Day
4260,San Antonio,2023-05-15,12:11,Medium,Clear,Dry,2,47.6016,-100.1588,12,5,2023,2023-05,Day
4261,New York,2022-07-10,04:42,Low,Fog,Dry,5,28.7637,-84.702,4,7,2022,2022-07,Night
4262,Philadelphia,2022-04-23,15:42,Low,Clear,Dry,2,44.1893,-87.3467,15,4,2022,2022-04,Day
4263,Chicago,2023-12-11,12:09,High,Clear,Wet,4,29.2945,-100.5614,12,12,2023,2023-12,Day
4264,Los Angeles,2023-06-02,23:03,Medium,Rain,Wet,1,37.8699,-105.7679,23,6,2023,2023-06,Night
4265,Dallas,2023-10-02,17:05,High,Rain,Dry,4,30.3317,-102.9871,17,10,2023,2023-10,Day
4266,New York,2023-03-28,02:46,High,Clear,Dry,4,39.644,-120.1085,2,3,2023,2023-03,Night
4267,San Jose,2023-06-08,05:38,Medium,Snow,Dry,5,27.4467,-101.6042,5,6,2023,2023-06,Night
4268,Charlotte,2022-10-24,10:19,Low,Clear,Dry,5,44.9936,-77.581,10,10,2022,2022-10,Day
4269,Phoenix,2021-09-24,17:55,Low,Fog,Wet,1,45.9607,-105.6309,17,9,2021,2021-09,Day
4270,Philadelphia,2021-09-25,11:43,Medium,Cloudy,Wet,2,26.2995,-81.7661,11,9,2021,2021-09,Day
4271,Indianapolis,2022-02-11,07:26,Low,Fog,Dry,1,26.0545,-98.7334,7,2,2022,2022-02,Day
4272,San Jose,2023-12-26,17:25,Low,Clear,Dry,2,40.3857,-108.853,17,12,2023,2023-12,Day
4273,Houston,2021-10-28,11:01,Low,Hail,Under Construction,3,30.6396,-78.7335,11,10,2021,2021-10,Day
4274,Chicago,2022-09-20,18:26,High,Rain,Slippery,1,44.4894,-71.3959,18,9,2022,2022-09,Night
4275,San Diego,2022-08-06,13:31,Low,Clear,Dry,2,36.6919,-85.5418,13,8,2022,2022-08,Day
4276,Indianapolis,2022-12-23,08:53,High,Rain,Dry,3,38.7886,-75.1864,8,12,2022,2022-12,Day
4277,Charlotte,2023-10-08,21:36,Low,Clear,Dry,3,45.2769,-113.4902,21,10,2023,2023-10,Night
4278,Charlotte,2023-12-21,18:53,Medium,Clear,Slippery,4,46.2435,-107.7635,18,12,2023,2023-12,Night
4279,Los Angeles,2022-04-19,01:42,High,Clear,Under Construction,4,41.2129,-106.6646,1,4,2022,2022-04,Night
4280,Dallas,2022-08-12,08:49,Low,Fog,Dry,4,37.0819,-72.6676,8,8,2022,2022-08,Day
4281,Los Angeles,2023-10-19,17:46,Medium,Clear,Slippery,4,46.6911,-115.2671,17,10,2023,2023-10,Day
4282,San Antonio,2023-03-17,18:58,Low,Snow,Wet,5,29.8551,-81.7752,18,3,2023,2023-03,Night
4283,Houston,2021-07-30,15:00,Medium,Fog,Slippery,1,25.7404,-92.2401,15,7,2021,2021-07,Day
4284,San Antonio,2022-08-21,10:11,Low,Rain,Dry,3,28.0161,-115.3088,10,8,2022,2022-08,Day
4285,Chicago,2021-09-17,12:32,Medium,Hail,Dry,2,31.5363,-91.2087,12,9,2021,2021-09,Day
4286,Houston,2021-01-04,11:23,Medium,Clear,Icy,5,42.0977,-110.1131,11,1,2021,2021-01,Day
4287,Indianapolis,2022-12-20,20:22,Medium,Windy,Dry,2,46.1399,-107.6879,20,12,2022,2022-12,Night
4288,San Jose,2023-08-16,17:32,Medium,Rain,Dry,2,38.5912,-90.2617,17,8,2023,2023-08,Day
4289,Houston,2022-08-22,08:59,Medium,Rain,Dry,3,39.2457,-83.3938,8,8,2022,2022-08,Day
4290,Jacksonville,2022-03-05,23:46,Low,Clear,Wet,1,29.1972,-105.9545,23,3,2022,2022-03,Night
4291,Phoenix,2021-11-08,06:42,Low,Clear,Dry,5,36.6201,-110.6947,6,11,2021,2021-11,Day
4292,New York,2023-08-10,16:29,Low,Snow,Dry,5,33.5336,-88.4436,16,8,2023,2023-08,Day
4293,New York,2021-02-10,16:59,Medium,Clear,Dry,3,41.4173,-76.5768,16,2,2021,2021-02,Day
4294,Houston,2022-02-19,07:21,Low,Fog,Wet,1,30.8727,-96.4634,7,2,2022,2022-02,Day
4295,Dallas,2023-09-13,14:50,Medium,Clear,Slippery,4,36.3765,-104.9018,14,9,2023,2023-09,Day
4296,Houston,2022-01-26,16:39,High,Clear,Icy,5,31.9125,-107.5902,16,1,2022,2022-01,Day
4297,San Antonio,2021-08-09,20:51,Medium,Windy,Slippery,4,47.3812,-75.7046,20,8,2021,2021-08,Night
4298,Austin,2021-11-11,14:25,Medium,Clear,Dry,3,27.4072,-90.6296,14,11,2021,2021-11,Day
4299,Los Angeles,2022-10-05,07:59,High,Rain,Wet,4,47.0281,-103.2219,7,10,2022,2022-10,Day
4300,Indianapolis,2022-11-10,18:12,Low,Rain,Wet,2,26.6384,-87.4126,18,11,2022,2022-11,Night
4301,Columbus,2022-09-04,19:21,High,Rain,Dry,1,44.7655,-102.2681,19,9,2022,2022-09,Night
4302,New York,2021-04-14,07:51,Low,Clear,Dry,4,32.0769,-90.2381,7,4,2021,2021-04,Day
4303,Phoenix,2023-01-01,20:52,High,Snow,Dry,1,33.0738,-88.902,20,1,2023,2023-01,Night
4304,San Diego,2022-10-29,08:57,High,Fog,Dry,5,41.1041,-104.7929,8,10,2022,2022-10,Day
4305,Columbus,2022-03-18,20:53,High,Clear,Wet,4,39.575,-74.8431,20,3,2022,2022-03,Night
4306,Indianapolis,2021-12-10,18:59,Low,Snow,Dry,2,29.1167,-74.6369,18,12,2021,2021-12,Night
4307,New York,2023-09-02,10:05,High,Clear,Dry,2,37.3984,-115.0321,10,9,2023,2023-09,Day
4308,San Antonio,2021-02-23,12:28,Medium,Clear,Wet,3,40.0452,-108.0819,12,2,2021,2021-02,Day
4309,Chicago,2021-08-24,16:36,Low,Hail,Wet,4,29.0436,-108.3396,16,8,2021,2021-08,Day
4310,Indianapolis,2022-02-19,15:00,High,Fog,Dry,4,35.2754,-87.4287,15,2,2022,2022-02,Day
4311,Los Angeles,2022-12-28,13:59,Medium,Rain,Dry,4,26.3522,-86.9569,13,12,2022,2022-12,Day
4312,Columbus,2021-11-16,11:41,Medium,Cloudy,Dry,5,34.9949,-115.2098,11,11,2021,2021-11,Day
4313,New York,2021-02-08,13:37,Low,Fog,Dry,1,39.2425,-80.087,13,2,2021,2021-02,Day
4314,New York,2023-07-30,17:50,Low,Clear,Wet,2,31.2585,-121.9236,17,7,2023,2023-07,Day
4315,Houston,2021-06-16,00:11,Low,Rain,Wet,4,33.5133,-78.1038,0,6,2021,2021-06,Night
4316,Columbus,2023-03-20,11:29,Medium,Rain,Dry,3,26.9225,-118.9498,11,3,2023,2023-03,Day
4317,San Antonio,2021-01-06,12:20,Medium,Snow,Dry,2,26.2539,-81.2621,12,1,2021,2021-01,Day
4318,New York,2023-05-23,18:11,Medium,Rain,Slippery,1,44.267,-72.5598,18,5,2023,2023-05,Night
4319,Columbus,2022-11-16,08:53,Low,Snow,Dry,2,42.8487,-76.5652,8,11,2022,2022-11,Day
4320,Indianapolis,2021-12-04,14:00,Medium,Clear,Slippery,4,28.4255,-111.4756,14,12,2021,2021-12,Day
4321,New York,2023-02-13,06:55,Low,Snow,Dry,1,34.1381,-119.1617,6,2,2023,2023-02,Day
4322,New York,2023-06-07,19:29,Medium,Clear,Dry,5,39.7151,-86.5854,19,6,2023,2023-06,Night
4323,Los Angeles,2023-06-27,16:43,Medium,Hail,Dry,1,38.0574,-89.6597,16,6,2023,2023-06,Day
4324,San Antonio,2021-04-10,15:17,High,Snow,Dry,5,30.0367,-95.318,15,4,2021,2021-04,Day
4325,Dallas,2023-10-01,14:19,Medium,Rain,Wet,5,28.522,-81.5604,14,10,2023,2023-10,Day
4326,Indianapolis,2023-07-22,11:25,Medium,Rain,Dry,2,35.2808,-108.8109,11,7,2023,2023-07,Day
4327,Los Angeles,2023-10-26,08:44,High,Cloudy,Wet,4,26.4905,-105.1284,8,10,2023,2023-10,Day
4328,Indianapolis,2023-09-27,19:37,Low,Snow,Dry,2,33.8468,-77.3894,19,9,2023,2023-09,Night
4329,Chicago,2021-06-29,05:20,Medium,Rain,Dry,1,37.3211,-74.8727,5,6,2021,2021-06,Night
4330,Jacksonville,2022-01-09,22:48,Low,Rain,Icy,1,39.7364,-98.6322,22,1,2022,2022-01,Night
4331,Philadelphia,2023-05-11,19:03,Medium,Clear,Icy,2,40.1952,-102.5676,19,5,2023,2023-05,Night
4332,Indianapolis,2023-04-17,16:30,Low,Clear,Slippery,5,26.4429,-116.4772,16,4,2023,2023-04,Day
4333,Austin,2021-06-02,18:24,High,Clear,Slippery,5,26.1077,-99.5251,18,6,2021,2021-06,Night
4334,New York,2022-09-18,09:16,Low,Snow,Dry,1,38.9115,-110.4176,9,9,2022,2022-09,Day
4335,Philadelphia,2022-06-07,21:31,High,Windy,Wet,1,39.3117,-86.3444,21,6,2022,2022-06,Night
4336,San Antonio,2023-06-08,19:34,Low,Rain,Under Construction,1,39.7313,-79.003,19,6,2023,2023-06,Night
4337,Chicago,2023-12-07,05:53,High,Clear,Wet,4,27.2084,-97.2008,5,12,2023,2023-12,Night
4338,San Antonio,2023-08-14,17:53,Low,Clear,Slippery,4,26.1535,-71.6083,17,8,2023,2023-08,Day
4339,Indianapolis,2022-12-03,18:47,Medium,Clear,Wet,3,39.3308,-97.0598,18,12,2022,2022-12,Night
4340,Los Angeles,2022-10-23,17:11,Low,Clear,Dry,3,26.4835,-81.1084,17,10,2022,2022-10,Day
4341,San Antonio,2023-04-28,06:22,Medium,Clear,Dry,3,39.0478,-89.0493,6,4,2023,2023-04,Day
4342,Indianapolis,2023-08-17,12:41,Medium,Rain,Icy,5,46.4407,-112.5802,12,8,2023,2023-08,Day
4343,New York,2023-01-14,05:36,Low,Snow,Icy,2,29.8818,-73.5222,5,1,2023,2023-01,Night
4344,Charlotte,2021-10-02,23:28,Medium,Fog,Dry,3,38.2769,-77.7826,23,10,2021,2021-10,Night
4345,Los Angeles,2021-12-05,12:11,Medium,Clear,Dry,2,40.9649,-108.6845,12,12,2021,2021-12,Day
4346,San Diego,2022-01-08,06:33,Low,Clear,Slippery,4,34.3242,-107.6239,6,1,2022,2022-01,Day
4347,Columbus,2021-07-24,17:23,Low,Rain,Icy,3,47.6014,-80.0888,17,7,2021,2021-07,Day
4348,Los Angeles,2022-05-24,07:59,Low,Rain,Dry,4,30.5709,-97.932,7,5,2022,2022-05,Day
4349,Dallas,2021-12-08,19:09,Medium,Clear,Dry,2,27.2081,-111.3652,19,12,2021,2021-12,Night
4350,Austin,2022-12-17,19:30,High,Clear,Dry,5,25.1492,-111.7415,19,12,2022,2022-12,Night
4351,Houston,2022-04-02,11:00,Low,Rain,Icy,5,26.0189,-75.5508,11,4,2022,2022-04,Day
4352,Chicago,2023-11-28,07:57,Medium,Rain,Dry,4,29.3052,-83.7971,7,11,2023,2023-11,Day
4353,Philadelphia,2023-12-05,12:11,High,Fog,Dry,4,45.1629,-113.8242,12,12,2023,2023-12,Day
4354,Dallas,2023-01-10,20:29,Low,Rain,Dry,5,28.0585,-86.8252,20,1,2023,2023-01,Night
4355,Charlotte,2023-05-07,07:12,Medium,Hail,Under Construction,3,44.5314,-118.6972,7,5,2023,2023-05,Day
4356,San Diego,2023-01-28,08:08,Medium,Clear,Icy,3,42.6405,-78.8696,8,1,2023,2023-01,Day
4357,Phoenix,2022-08-08,21:28,Low,Clear,Wet,5,41.0217,-100.0857,21,8,2022,2022-08,Night
4358,Indianapolis,2023-09-26,06:28,Medium,Rain,Wet,3,30.708,-112.4158,6,9,2023,2023-09,Day
4359,Los Angeles,2021-06-04,19:45,Medium,Clear,Wet,5,33.978,-78.9627,19,6,2021,2021-06,Night
4360,Jacksonville,2023-07-17,17:23,Medium,Rain,Icy,3,43.548,-104.7269,17,7,2023,2023-07,Day
4361,Chicago,2021-11-21,16:59,High,Clear,Wet,2,43.0533,-81.8763,16,11,2021,2021-11,Day
4362,Indianapolis,2022-06-10,17:51,Medium,Rain,Dry,2,36.9096,-98.7265,17,6,2022,2022-06,Day
4363,Houston,2023-02-10,04:46,Medium,Rain,Wet,3,32.817,-120.0792,4,2,2023,2023-02,Night
4364,Los Angeles,2023-02-27,17:33,Medium,Rain,Dry,2,47.4102,-95.1526,17,2,2023,2023-02,Day
4365,Los Angeles,2023-02-13,01:44,Medium,Fog,Icy,1,42.2546,-109.2357,1,2,2023,2023-02,Night
4366,Chicago,2022-01-26,16:23,Low,Hail,Icy,2,32.2675,-120.2028,16,1,2022,2022-01,Day
4367,New York,2023-02-25,16:04,Low,Rain,Wet,5,40.5276,-79.2069,16,2,2023,2023-02,Day
4368,Charlotte,2023-11-20,18:33,Medium,Rain,Dry,1,35.589,-107.3181,18,11,2023,2023-11,Night
4369,Dallas,2021-12-24,21:13,Low,Fog,Dry,1,36.6746,-104.6479,21,12,2021,2021-12,Night
4370,San Jose,2023-11-02,10:50,Low,Snow,Dry,1,44.3295,-112.9631,10,11,2023,2023-11,Day
4371,Houston,2023-10-10,23:54,High,Fog,Dry,1,41.4474,-118.052,23,10,2023,2023-10,Night
4372,Los Angeles,2023-10-30,05:19,High,Rain,Dry,5,47.6176,-92.3603,5,10,2023,2023-10,Night
4373,Chicago,2023-09-27,11:49,Medium,Clear,Dry,1,37.7912,-72.0403,11,9,2023,2023-09,Day
4374,Dallas,2021-05-15,19:54,Low,Clear,Dry,2,27.4103,-113.7066,19,5,2021,2021-05,Night
4375,Houston,2023-03-03,11:44,Low,Clear,Dry,2,27.4584,-118.2473,11,3,2023,2023-03,Day
4376,San Jose,2023-12-17,06:50,Low,Fog,Slippery,4,44.6884,-94.6541,6,12,2023,2023-12,Day
4377,Chicago,2021-07-08,20:34,High,Clear,Dry,3,27.676,-104.1084,20,7,2021,2021-07,Night
4378,New York,2023-07-18,07:25,High,Clear,Wet,2,27.2279,-119.7888,7,7,2023,2023-07,Day
4379,Jacksonville,2021-05-23,13:42,Medium,Clear,Dry,2,28.5903,-93.7526,13,5,2021,2021-05,Day
4380,Houston,2021-02-06,05:42,Low,Clear,Wet,5,45.4161,-117.2694,5,2,2021,2021-02,Night
4381,Charlotte,2022-10-01,00:55,Low,Rain,Dry,2,43.7671,-120.1356,0,10,2022,2022-10,Night
4382,Phoenix,2023-08-12,13:57,Low,Fog,Dry,5,46.9863,-121.6256,13,8,2023,2023-08,Day
4383,Columbus,2022-02-24,17:56,Low,Hail,Dry,1,46.9585,-85.0666,17,2,2022,2022-02,Day
4384,New York,2023-05-13,07:04,High,Rain,Dry,1,36.163,-120.1542,7,5,2023,2023-05,Day
4385,Dallas,2023-01-14,17:51,Low,Clear,Wet,1,38.6087,-98.9572,17,1,2023,2023-01,Day
4386,San Antonio,2021-04-23,20:59,High,Fog,Dry,1,35.9885,-117.1451,20,4,2021,2021-04,Night
4387,Dallas,2022-02-17,11:40,Medium,Clear,Wet,2,43.2932,-110.285,11,2,2022,2022-02,Day
4388,Phoenix,2023-11-26,22:23,Low,Rain,Wet,5,25.447,-121.3935,22,11,2023,2023-11,Night
4389,Dallas,2022-09-04,06:09,Medium,Clear,Wet,4,36.9488,-88.284,6,9,2022,2022-09,Day
4390,Indianapolis,2022-07-03,12:00,Medium,Clear,Dry,3,44.9467,-103.2408,12,7,2022,2022-07,Day
4391,Los Angeles,2022-08-18,12:47,Low,Clear,Dry,5,25.4889,-110.8923,12,8,2022,2022-08,Day
4392,New York,2021-01-05,06:22,Medium,Cloudy,Dry,1,44.3907,-116.1713,6,1,2021,2021-01,Day
4393,Houston,2023-09-24,18:02,Low,Cloudy,Wet,2,33.9673,-75.0125,18,9,2023,2023-09,Night
4394,New York,2023-08-28,16:51,Medium,Cloudy,Wet,2,40.4937,-74.8112,16,8,2023,2023-08,Day
4395,San Antonio,2022-08-05,23:46,Medium,Clear,Slippery,5,44.1274,-88.7728,23,8,2022,2022-08,Night
4396,New York,2021-12-04,00:56,High,Cloudy,Under Construction,1,45.4646,-78.9229,0,12,2021,2021-12,Night
4397,Los Angeles,2023-02-25,19:21,Medium,Fog,Dry,3,43.0595,-84.4257,19,2,2023,2023-02,Night
4398,San Antonio,2023-08-19,06:58,Medium,Clear,Dry,3,33.3565,-102.8534,6,8,2023,2023-08,Day
4399,New York,2021-02-01,22:03,Medium,Cloudy,Under Construction,5,33.0521,-97.5355,22,2,2021,2021-02,Night
4400,Los Angeles,2022-10-08,12:58,High,Rain,Wet,2,34.4951,-117.1725,12,10,2022,2022-10,Day
4401,Los Angeles,2021-02-20,15:10,Low,Rain,Dry,4,40.2953,-99.0184,15,2,2021,2021-02,Day
4402,New York,2021-11-05,19:26,Low,Rain,Icy,1,28.8504,-103.1237,19,11,2021,2021-11,Night
4403,Los Angeles,2022-11-19,10:58,Medium,Clear,Wet,4,34.689,-70.3143,10,11,2022,2022-11,Day
4404,Chicago,2021-02-27,21:22,Low,Clear,Wet,1,33.9325,-71.1718,21,2,2021,2021-02,Night
4405,San Jose,2023-07-09,16:22,Low,Clear,Dry,2,39.112,-111.0131,16,7,2023,2023-07,Day
4406,New York,2023-04-12,16:57,Medium,Hail,Slippery,5,28.7636,-91.5778,16,4,2023,2023-04,Day
4407,New York,2022-12-26,12:06,Low,Snow,Dry,4,31.3889,-100.7428,12,12,2022,2022-12,Day
4408,Philadelphia,2023-09-10,11:29,Low,Clear,Slippery,5,31.0141,-103.6444,11,9,2023,2023-09,Day
4409,Charlotte,2021-06-09,17:56,Low,Windy,Under Construction,5,37.9901,-103.4785,17,6,2021,2021-06,Day
4410,Columbus,2021-02-01,20:37,Medium,Clear,Dry,3,39.4588,-82.2351,20,2,2021,2021-02,Night
4411,San Diego,2021-08-08,09:33,Low,Rain,Dry,2,29.2701,-73.874,9,8,2021,2021-08,Day
4412,New York,2023-04-19,11:36,Medium,Clear,Icy,5,25.8124,-103.8578,11,4,2023,2023-04,Day
4413,San Antonio,2023-12-22,20:51,High,Clear,Slippery,2,25.3476,-99.4807,20,12,2023,2023-12,Night
4414,San Diego,2022-03-26,20:46,Low,Clear,Wet,5,31.6587,-116.5606,20,3,2022,2022-03,Night
4415,Austin,2023-06-02,16:29,Medium,Rain,Slippery,5,44.8965,-115.603,16,6,2023,2023-06,Day
4416,Phoenix,2021-02-05,11:54,Low,Rain,Wet,4,31.7445,-74.6125,11,2,2021,2021-02,Day
4417,Los Angeles,2022-09-20,11:45,High,Rain,Under Construction,1,45.4614,-109.1438,11,9,2022,2022-09,Day
4418,Los Angeles,2023-07-21,19:30,Medium,Clear,Icy,3,42.1375,-102.6218,19,7,2023,2023-07,Night
4419,San Antonio,2023-10-12,12:20,Medium,Clear,Dry,4,30.2114,-84.7682,12,10,2023,2023-10,Day
4420,Charlotte,2022-03-24,07:16,Medium,Clear,Wet,5,26.8135,-87.3276,7,3,2022,2022-03,Day
4421,San Jose,2021-03-24,11:25,Medium,Hail,Slippery,3,26.4465,-109.8542,11,3,2021,2021-03,Day
4422,Houston,2022-01-27,01:28,Medium,Clear,Slippery,5,35.211,-79.8457,1,1,2022,2022-01,Night
4423,Houston,2021-06-25,16:47,High,Snow,Wet,5,27.3753,-80.7931,16,6,2021,2021-06,Day
4424,Jacksonville,2021-11-24,17:11,Medium,Clear,Dry,2,35.6374,-94.2261,17,11,2021,2021-11,Day
4425,Phoenix,2021-05-18,08:04,Low,Clear,Dry,4,41.4622,-80.1508,8,5,2021,2021-05,Day
4426,New York,2021-10-20,12:04,High,Rain,Slippery,2,25.579,-111.3414,12,10,2021,2021-10,Day
4427,Austin,2023-08-03,14:56,Low,Clear,Dry,3,46.43,-80.7379,14,8,2023,2023-08,Day
4428,Columbus,2023-05-06,20:28,High,Clear,Dry,4,36.7727,-105.0056,20,5,2023,2023-05,Night
4429,Phoenix,2021-12-27,12:14,Medium,Clear,Slippery,5,45.4242,-108.0362,12,12,2021,2021-12,Day
4430,Philadelphia,2022-02-03,04:19,Low,Rain,Under Construction,1,34.3058,-75.0974,4,2,2022,2022-02,Night
4431,Columbus,2021-01-21,14:03,Medium,Clear,Dry,5,25.8682,-72.6066,14,1,2021,2021-01,Day
4432,Austin,2021-09-23,09:25,Low,Rain,Dry,1,35.7476,-108.3603,9,9,2021,2021-09,Day
4433,Philadelphia,2023-02-13,03:51,Low,Snow,Icy,1,31.0239,-111.8524,3,2,2023,2023-02,Night
4434,Houston,2021-07-11,14:12,Low,Clear,Wet,5,42.1218,-121.6405,14,7,2021,2021-07,Day
4435,New York,2022-11-27,00:14,High,Rain,Wet,3,38.0568,-87.9643,0,11,2022,2022-11,Night
4436,Los Angeles,2023-04-03,10:26,Low,Rain,Wet,4,37.7646,-117.0205,10,4,2023,2023-04,Day
4437,San Diego,2022-04-24,21:30,High,Clear,Dry,5,27.3751,-118.09,21,4,2022,2022-04,Night
4438,Philadelphia,2022-12-09,20:42,Low,Rain,Dry,2,27.0326,-101.3287,20,12,2022,2022-12,Night
4439,Los Angeles,2021-05-10,12:41,Medium,Clear,Wet,5,35.4668,-121.3064,12,5,2021,2021-05,Day
4440,Indianapolis,2023-11-13,13:38,Medium,Clear,Wet,3,37.2073,-118.3103,13,11,2023,2023-11,Day
4441,San Antonio,2022-11-25,17:15,Medium,Rain,Dry,5,40.3916,-98.9001,17,11,2022,2022-11,Day
4442,Chicago,2022-03-30,16:34,Medium,Clear,Icy,1,42.8732,-75.5765,16,3,2022,2022-03,Day
4443,Indianapolis,2022-01-12,19:41,Low,Clear,Dry,5,32.2841,-78.9682,19,1,2022,2022-01,Night
4444,New York,2023-05-14,16:46,High,Fog,Dry,2,39.5438,-79.6606,16,5,2023,2023-05,Day
4445,New York,2023-04-29,06:43,Medium,Cloudy,Icy,2,30.3176,-119.2967,6,4,2023,2023-04,Day
4446,New York,2023-03-08,13:01,Medium,Clear,Dry,1,31.3699,-70.8515,13,3,2023,2023-03,Day
4447,Los Angeles,2021-11-05,15:00,Medium,Windy,Slippery,2,25.8544,-92.7843,15,11,2021,2021-11,Day
4448,Houston,2023-05-10,07:35,Medium,Clear,Dry,4,37.5244,-71.2917,7,5,2023,2023-05,Day
4449,Charlotte,2023-05-22,17:30,High,Clear,Dry,4,25.5827,-100.3672,17,5,2023,2023-05,Day
4450,Dallas,2022-01-21,16:41,Medium,Fog,Dry,5,44.7757,-119.4397,16,1,2022,2022-01,Day
4451,New York,2023-01-07,18:18,Medium,Rain,Wet,4,34.3073,-85.165,18,1,2023,2023-01,Night
4452,Jacksonville,2022-05-21,13:53,Medium,Clear,Slippery,3,33.1315,-104.182,13,5,2022,2022-05,Day
4453,Columbus,2023-07-17,13:31,Low,Clear,Wet,3,36.6173,-100.4721,13,7,2023,2023-07,Day
4454,Houston,2023-11-17,21:12,Low,Snow,Slippery,2,42.4474,-75.8922,21,11,2023,2023-11,Night
4455,Los Angeles,2023-02-12,03:08,Low,Clear,Icy,4,36.4202,-118.7636,3,2,2023,2023-02,Night
